Lastname,Name,Team,Position,Games Played,Goals,Missed,Field Goals,Penalty Goals,Shooting Accuracy,Assists,Technical Faults,Steals,Blocks,Yellow Cards,2 Min Exclusion,Red Cards,Blue Cards,Season,Tier
Alisch,Fritz-leopold,DES,GK,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,18/19,B
Meisner,Till,VFL,LB,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,18/19,B
Nass,Henrik,TVH,GK,4,0,0,0,0,0.0,0,0,0,0,0,0,0,0,18/19,B
Baatz,Lukas,HSV,GK,8,0,0,0,0,0.0,0,0,0,0,0,0,0,0,18/19,B
Martinovic,Ivan,DES,RB,14,0,0,0,0,0.0,0,0,0,0,0,0,0,0,18/19,B
Schroder,Tim,VIK,LB,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,18/19,B
Lorenz,Nils,TVH,GK,9,0,0,0,0,0.0,0,0,0,0,0,0,0,0,18/19,B
Holtz,Jan Frederik,VIK,GK,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,18/19,B
Nedeljkovic,Nenad,NLB,CB,3,0,0,0,0,0.0,0,1,0,0,0,0,0,0,18/19,B
Pusch,Yannick,VIK,RW,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,18/19,B
Strunk,Maximilian,VIK,P,3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,18/19,B
Hallfeldt,Aaron,VIK,GK,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,18/19,B
Schon,Sebastian,VIK,LW,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,18/19,B
Bergau,Nils,TVG,LB,4,0,0,0,0,0.0,0,2,0,0,0,0,0,0,18/19,B
Kraus,Dustin,TUE,LB,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,18/19,B
Boddenberg,Ranga,VIK,CB,1,0,0,0,0,0.0,0,0,0,0,0,1,0,0,18/19,B
Hass,Alexander,VFL,GK,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,18/19,B
Loffelmann,Joshua,TVG,GK,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,18/19,B
Cal,Henning,ELB,LW,1,0,0,0,0,0.0,2,3,0,0,0,0,0,0,18/19,B
Noguchi,Go,ELB,LW,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,18/19,B
Billek,Florian,COB,RW,22,177,50,110,67,0.7797,11,14,5,2,0,2,0,0,19/20,B
Weller,Niklas,HSV,P,24,165,49,81,84,0.7709999999999999,11,16,3,15,11,23,0,0,19/20,B
Lindskog Andersson,Julius,FER,CB,24,141,59,69,72,0.705,38,19,3,2,1,4,0,0,19/20,B
Holzner,Dirk,TVE,LW,24,140,74,74,66,0.6542,6,4,11,0,2,5,0,0,19/20,B
Schafer,Christian,SGB,RW,24,137,46,68,69,0.7486,2,5,14,0,4,4,0,0,19/20,B
Zintel,Bjorn,TVH,CB,24,133,62,104,29,0.6820999999999999,53,23,8,1,6,2,0,0,19/20,B
Bornhorn,Bengt,AUE,P,20,119,31,53,66,0.7933,0,17,0,0,3,3,0,0,19/20,B
Kammlodt,Adrian,AUE,LB,24,119,77,118,1,0.6071,70,35,4,4,7,16,1,0,19/20,B
Sommer,Marvin,GUM,LW,24,118,49,73,45,0.7066,7,10,10,1,4,3,0,0,19/20,B
Huesmann,Fabian,ASV,LW,24,118,34,66,52,0.7763,9,4,8,4,5,4,1,0,19/20,B
Kaletsch,Paul,KON,LB,21,118,98,78,40,0.5463,82,60,0,1,2,4,0,0,19/20,B
Beyer,Noah,TUE,LW,24,111,37,54,57,0.75,4,7,9,0,3,2,1,0,19/20,B
Skroblien,Tom,TUE,LW,19,109,42,62,47,0.7219,3,4,7,0,0,1,0,0,19/20,B
Tokic,Ante,EIS,RW,22,109,43,94,15,0.7171,15,10,19,1,1,2,1,0,19/20,B
Reuland,Joshua,DOR,LW,23,107,46,63,44,0.6993,10,6,1,0,0,4,0,0,19/20,B
Wasielewski,Johannes,TVE,RB,21,107,83,107,0,0.5632,42,33,7,5,14,24,1,0,19/20,B
Bruren,Kevin Christopher,KRF,RB,21,103,110,67,36,0.4836,27,24,3,2,6,7,0,0,19/20,B
Petreikis,Benas,AUE,CB,24,103,80,91,12,0.5628,63,38,6,0,4,7,0,0,19/20,B
Grbavac,Ante,DOR,LB,23,103,105,89,14,0.49520000000000003,39,22,1,5,7,7,0,0,19/20,B
Strosack,Peter,NLB,RW,24,102,43,86,16,0.7034,12,8,2,1,4,6,0,0,19/20,B
Wolf,Tom,KON,LB,23,99,73,77,22,0.5756,38,24,4,14,10,10,0,0,19/20,B
Varvne,Tobias,COB,LB,23,95,61,95,0,0.609,38,27,4,0,1,7,1,0,19/20,B
Bozovic,Janko,GUM,RB,24,94,79,94,0,0.5434,39,21,2,7,9,11,0,0,19/20,B
Link,Jonas,SGB,CB,24,94,57,94,0,0.6225,51,13,7,0,0,10,0,0,19/20,B
Spohn,Valentin,NLB,LB,24,94,82,90,4,0.5341,22,15,1,2,2,2,0,0,19/20,B
Saul,Alexander,EIS,RB,22,92,64,85,7,0.5897,44,22,4,1,4,12,0,0,19/20,B
Schmidt,Patrick,WÖW,CB,23,90,78,60,30,0.5357,33,26,3,3,3,5,0,0,19/20,B
Jaeger,Max,COB,LW,23,89,31,89,0,0.7417,5,4,3,3,6,9,0,0,19/20,B
Sudmeier,Soren,ASV,CB,23,87,60,87,0,0.5918,28,23,1,3,2,2,0,0,19/20,B
Gress,Sebastian,ELB,CB,23,87,62,87,0,0.5839,65,20,5,2,1,1,0,0,19/20,B
Zechel,Tim,TUE,P,24,87,15,87,0,0.8529000000000001,11,21,7,20,17,12,1,0,19/20,B
Gugisch,Nils,ELB,RW,21,84,50,76,8,0.6269,1,5,8,0,3,2,0,0,19/20,B
Stegefelt,Markus,TVH,LB,20,84,76,54,30,0.525,30,16,3,2,4,4,0,0,19/20,B
Orlowski,Marian,NLB,LB,23,83,62,73,10,0.5724,39,18,0,7,6,9,0,0,19/20,B
Wohler,Adrian,EIS,LW,22,83,26,42,41,0.7615000000000001,2,3,1,2,0,8,1,0,19/20,B
Schomig,Dominik,WÖW,LW,23,81,40,56,25,0.6694,4,14,8,0,3,3,0,0,19/20,B
Tissier,Leif,HSV,CB,24,81,36,81,0,0.6923,66,22,4,2,4,3,0,0,19/20,B
Weber,Patrick,FER,LB,18,80,72,75,5,0.5263,19,7,3,1,1,1,0,0,19/20,B
Hermann,Alexander,GUM,LB,18,80,62,80,0,0.5634,35,20,4,15,5,10,0,0,19/20,B
Lofstrom,Carl,DOR,P,21,80,30,80,0,0.7273000000000001,4,13,7,6,10,20,2,0,19/20,B
Forstbauer,Jan,HSV,RB,24,78,66,77,1,0.5417000000000001,45,27,0,1,6,10,0,0,19/20,B
Bergemann,Thies,HSV,RW,24,78,45,78,0,0.6341,10,6,4,0,2,6,0,0,19/20,B
Glabisch,Thees,VFL,LW,22,77,28,38,39,0.7333,4,2,4,0,1,2,0,0,19/20,B
Dierberg,Julius,ELB,LW,24,76,31,33,43,0.7103,11,5,7,0,2,6,0,0,19/20,B
Firnhaber,Lucas,TUE,RB,24,76,79,76,0,0.4903,33,23,9,4,7,13,0,0,19/20,B
Brielmeier,Benedikt,WÖW,LB,24,74,71,67,7,0.5103,35,23,0,1,11,8,0,0,19/20,B
Zetterman,Pontus,COB,RB,23,73,55,73,0,0.5703,94,34,8,1,8,4,0,0,19/20,B
Mubenzem,Dieudonne,TVH,RB,21,73,60,73,0,0.5489,23,20,5,2,1,3,0,0,19/20,B
Szczesny,Dennis,TUE,LB,23,72,57,72,0,0.5581,52,23,9,30,6,18,1,0,19/20,B
Dahlhaus,Tim,SGB,RB,24,72,43,72,0,0.6261,27,11,3,4,6,10,0,0,19/20,B
Bornemann,Andreas,FER,RB,22,72,62,72,0,0.5373,29,17,3,2,9,10,1,1,19/20,B
Krings,Merten,ASV,CB,21,70,56,70,0,0.5556,46,19,2,0,5,7,0,0,19/20,B
Kraus,Michael,SGB,LB,21,69,93,67,2,0.42590000000000006,42,28,1,0,0,2,0,0,19/20,B
Brosch,Jan,ASV,P,24,69,19,69,0,0.7841,7,20,5,14,17,23,2,0,19/20,B
Blohme,Lukas,GUM,RW,24,68,26,56,12,0.7234,8,3,4,1,4,6,0,0,19/20,B
Schroder,Andreas,COB,LB,22,67,58,66,1,0.536,37,19,10,8,12,5,0,0,19/20,B
Claus,Dominik,SGB,RB,23,66,21,66,0,0.7585999999999999,33,15,1,4,1,4,1,0,19/20,B
Franke,Marten,ASV,RW,24,66,37,60,6,0.6408,11,10,5,0,5,4,0,0,19/20,B
Richter,Benjamin,DOR,CB,23,65,38,36,29,0.6311,22,20,5,1,0,0,0,0,19/20,B
Dumcius,Mindaugas,ELB,RB,24,65,49,65,0,0.5702,39,20,4,0,5,5,1,0,19/20,B
Rentschler,Patrick,SGB,P,24,64,19,64,0,0.7711,10,10,6,11,9,21,0,0,19/20,B
Pechstein,Marc,ELB,LB,19,64,47,42,22,0.5766,31,22,4,6,6,10,0,0,19/20,B
Ellwanger,Jonas,TUE,CB,23,63,31,63,0,0.6701999999999999,49,25,15,8,4,11,0,0,19/20,B
Ciupinski,Simon,KRF,CB,24,63,73,62,1,0.4632,36,35,2,1,1,9,0,0,19/20,B
Wiederstein,Fabian,KON,P,23,61,11,61,0,0.8472,14,13,4,11,14,23,1,0,19/20,B
Bruhn,Jasper,VFL,RB,24,61,42,61,0,0.5922,21,25,5,5,14,7,0,0,19/20,B
Genz,Jo Gerrit,NLB,RB,24,61,53,60,1,0.5351,22,14,4,3,8,7,0,0,19/20,B
Snajder,Ivan,EIS,LW,24,61,31,59,2,0.6629999999999999,10,3,3,0,6,17,1,0,19/20,B
Ebner,Dominik,NLB,RB,21,60,47,60,0,0.5607,19,15,1,2,2,6,0,0,19/20,B
Meuser,Andre,DOR,RB,19,60,43,60,0,0.5825,15,17,1,8,12,10,0,0,19/20,B
Wesseling,Sven,TVE,LB,24,60,65,60,0,0.48,42,29,5,20,10,14,1,0,19/20,B
Kikanovic,Luka,EIS,LB,24,60,68,60,0,0.46880000000000005,32,19,4,9,9,10,0,0,19/20,B
Von Boenigk,Jan,ASV,RB,23,59,48,59,0,0.5514,23,14,12,5,4,4,0,0,19/20,B
Kaufmann,Steffen,WÖW,RB,24,58,79,58,0,0.42340000000000005,74,21,3,2,4,6,0,0,19/20,B
Morante Maldonado,Eloy,DOR,CB,18,58,29,57,1,0.6667000000000001,32,16,4,0,0,5,0,0,19/20,B
Bechtloff,Jens,NLB,LW,24,57,26,40,17,0.6867,6,11,1,0,0,4,0,0,19/20,B
Lex,Stefan,ASV,RB,24,57,60,57,0,0.48719999999999997,45,22,5,2,5,5,0,0,19/20,B
Klingler,Felix,TUE,RW,24,57,24,44,13,0.7037,3,5,7,0,1,2,0,0,19/20,B
Rompf,Christian,TVH,LW,24,56,39,56,0,0.5895,1,4,8,0,5,15,0,0,19/20,B
Bauer,Philipp,HSV,CB,18,56,47,56,0,0.5437,26,23,0,2,3,4,0,0,19/20,B
Ossenkopp,Lukas,HSV,LB,24,56,48,47,9,0.5385,29,15,3,12,13,11,2,0,19/20,B
Muller,Justin,TUE,CB,24,55,44,55,0,0.5556,74,23,4,0,2,3,0,0,19/20,B
Roch,Kevin,AUE,LW,24,55,24,51,4,0.6962,11,4,5,22,14,15,0,0,19/20,B
Sauer,Julian,WÖW,RW,23,53,29,53,0,0.6463,3,6,3,0,4,5,1,0,19/20,B
Thummler,Jonas,ELB,P,20,52,7,52,0,0.8814,3,7,1,1,5,10,1,0,19/20,B
Lumbroso,Yoav,EIS,CB,24,52,45,49,3,0.5361,43,24,2,0,0,1,1,0,19/20,B
Sterba,Jakub,DOR,RW,23,52,27,52,0,0.6581999999999999,7,11,9,0,5,9,0,0,19/20,B
De Santis,Gabriel,AUE,RB,23,50,52,50,0,0.4902,22,21,2,4,10,10,1,0,19/20,B
Kretschmer,Finn,VFL,RW,23,49,35,49,0,0.5832999999999999,4,15,5,0,1,6,0,0,19/20,B
Michel,Mattis,FER,P,24,48,10,37,11,0.8276,5,6,1,7,13,12,0,0,19/20,B
Koster,Julian,DOR,LB,19,48,47,48,0,0.5053,51,16,11,5,2,8,0,0,19/20,B
Obranovic,Andrej,EIS,LB,24,47,31,47,0,0.6026,32,9,0,3,4,15,2,0,19/20,B
Schulz,Michael,WÖW,P,24,46,13,46,0,0.7797,6,14,7,13,16,33,2,0,19/20,B
Terhaer,Yannick,TVE,RW,17,46,28,46,0,0.6215999999999999,3,1,4,3,1,7,0,0,19/20,B
Juan Antonio Viciano Sario,,FER,LB,19,46,47,46,0,0.4946,11,16,1,0,1,1,0,0,19/20,B
Toom,Karl,TVE,LB,23,46,34,45,1,0.575,19,22,4,1,4,11,0,0,19/20,B
Cutura,Josip,KRF,CB,24,46,12,46,0,0.7931,5,28,3,2,7,15,1,0,19/20,B
Schiffmann,Henrik,KRF,RB,19,45,41,40,5,0.5233,19,7,6,1,6,4,0,0,19/20,B
Papadopoulos,Vyron,ASV,LW,18,44,23,33,11,0.6567000000000001,4,2,2,0,0,1,0,0,19/20,B
Becvar,Roman,NLB,CB,22,44,30,44,0,0.5946,23,29,1,0,5,4,0,0,19/20,B
Schrader,Janik,VFL,RB,23,44,40,21,23,0.5238,29,16,1,0,3,4,0,0,19/20,B
Zeman,Stepan,COB,P,20,44,10,44,0,0.8148000000000001,3,10,1,25,11,15,0,0,19/20,B
Schliedermann,Marcel,TVE,CB,23,43,25,43,0,0.6324000000000001,20,20,6,4,7,17,2,0,19/20,B
Beckmann,Fynn,KON,RB,24,43,25,43,0,0.6324000000000001,16,17,2,4,8,4,0,0,19/20,B
Schult,Jan,VFL,LB,21,43,46,43,0,0.48310000000000003,21,10,1,2,4,3,0,0,19/20,B
Maier-Hasselmann,Fabian,KON,RW,24,43,22,35,8,0.6615000000000001,3,4,0,0,0,1,0,0,19/20,B
Gentges,Tim,KRF,CB,24,43,65,43,0,0.3981,22,29,2,2,2,4,0,0,19/20,B
Faulenbach,Jonas,FER,LB,22,43,35,43,0,0.5513,32,12,1,3,0,1,1,0,19/20,B
Gertges,Jonas,HSV,LW,24,43,23,36,7,0.6515000000000001,1,4,3,1,2,2,0,0,19/20,B
Stuber,Jonas,GUM,P,24,43,9,43,0,0.8269,0,4,0,0,0,1,0,0,19/20,B
Sklenak,Tomas,TVH,CB,24,42,30,42,0,0.5832999999999999,36,22,4,0,1,3,0,0,19/20,B
Hansen,Markus,VFL,CB,18,42,31,41,1,0.5753,31,19,9,8,4,7,0,0,19/20,B
Schlaich,Fabian,KON,LW,22,42,19,40,2,0.6884999999999999,15,4,2,1,3,5,0,0,19/20,B
Becker,Alexander,GUM,P,24,41,17,39,2,0.7069,7,12,10,23,15,23,3,0,19/20,B
Zorb,Moritz,TVH,P,23,41,13,41,0,0.7593000000000001,2,9,6,9,12,9,1,0,19/20,B
Milde,Oliver,ASV,LB,21,41,45,41,0,0.4767,18,7,0,0,0,1,0,0,19/20,B
Schneider,Julian,FER,CB,23,41,26,39,2,0.6119,13,10,9,3,9,19,1,0,19/20,B
Siegler,Lukas,WÖW,LB,23,41,32,41,0,0.5616,10,12,6,6,7,14,0,0,19/20,B
Hubscher,Robin,TVH,LW,24,41,21,21,20,0.6613,2,6,3,1,0,3,0,0,19/20,B
Schroter,Tobias,GUM,RW,24,40,21,35,5,0.6557,9,6,9,1,0,4,0,0,19/20,B
Brykner,Ladislav,AUE,RB,16,39,31,39,0,0.5571,17,18,3,1,5,10,0,0,19/20,B
Buschmann,Arseniy,ELB,CB,24,39,22,39,0,0.6393,30,26,5,6,6,2,0,0,19/20,B
Ebert,Pascal,AUE,LW,24,38,21,37,1,0.6441,2,7,10,0,3,2,0,0,19/20,B
Schreiber,Hendrik,TVH,LB,17,38,24,38,0,0.6129,14,10,2,2,7,6,0,0,19/20,B
Pulay,Gabor,ELB,RB,20,38,17,25,13,0.6909000000000001,11,4,0,0,0,0,0,0,19/20,B
Akakpo,David Cyrill,TUE,RW,24,37,29,37,0,0.5606,1,5,3,0,1,10,0,0,19/20,B
Kohler,Steffen,VFL,P,23,36,14,36,0,0.72,3,11,8,5,10,7,0,0,19/20,B
Runarsson,Sigtryggur Dadi,VFL,CB,21,36,38,35,1,0.4865,15,9,4,0,0,1,0,0,19/20,B
Roosna,Karl,KRF,RB,22,36,29,35,1,0.5538000000000001,1,9,7,0,3,4,0,0,19/20,B
Fuss,Merlin,TVH,RB,24,36,31,36,0,0.5373,10,10,8,6,7,12,0,0,19/20,B
Schulz,Mike,KRF,RW,21,35,21,26,9,0.625,2,6,4,1,2,1,0,0,19/20,B
Wucherpfennig,Lukas,COB,RW,23,35,6,14,21,0.8537,0,1,1,0,0,1,0,0,19/20,B
Bornhauser,Tim,KON,CB,18,35,38,35,0,0.47950000000000004,33,10,2,0,1,4,0,0,19/20,B
Huter,Patrick,DOR,P,23,35,9,35,0,0.7955,10,7,4,13,12,21,1,0,19/20,B
Braun,Joschua,KON,RB,15,35,26,25,10,0.5738,9,16,0,0,5,2,0,0,19/20,B
Fischer,Jonathan,SGB,P,21,35,9,35,0,0.7955,1,5,3,4,3,10,0,0,19/20,B
Raguse,Mex,VFL,LB,14,35,40,35,0,0.4667,22,9,3,1,2,4,0,0,19/20,B
Herth,Benjamin,WÖW,CB,24,34,38,29,5,0.4722,5,7,0,0,1,4,0,0,19/20,B
Weyhrauch,Willy,EIS,RW,21,34,18,32,2,0.6537999999999999,4,4,6,0,0,1,2,0,19/20,B
Neuhold,Christoph,COB,CB,21,34,38,34,0,0.4722,30,14,0,2,1,1,0,0,19/20,B
Rudiger,Tim,FER,RW,20,34,19,34,0,0.6415000000000001,2,2,1,0,0,0,0,0,19/20,B
Schongarth,Jens,HSV,RB,11,33,39,33,0,0.4583,14,10,1,1,2,6,0,0,19/20,B
Wendel,Samuel,KON,LW,24,33,17,33,0,0.66,1,2,5,0,3,3,0,0,19/20,B
Gonschor,Fynn,VFL,LW,24,32,10,31,1,0.7619,0,3,4,0,0,1,0,0,19/20,B
Asmuth,Jan,SGB,LW,24,31,19,31,0,0.62,7,4,3,5,12,23,1,0,19/20,B
Weck,Alexander,GUM,LB,10,31,34,31,0,0.4769,24,3,1,3,1,2,0,0,19/20,B
Herzig,Fynn,GUM,LB,23,31,30,31,0,0.5082,16,13,1,0,1,3,0,0,19/20,B
Speckmann,Jan-Eric,NLB,LW,24,31,10,24,7,0.7561,0,1,1,1,2,5,0,0,19/20,B
Marcec,Martin,SGB,LW,16,30,14,23,7,0.6818000000000001,5,4,4,0,0,2,0,0,19/20,B
Kress,Soren,TVE,CB,23,30,26,28,2,0.5357,15,12,2,1,5,5,0,0,19/20,B
Gempp,Patrick,WÖW,P,23,29,11,29,0,0.725,7,16,4,9,8,3,0,0,19/20,B
Vanco,Marek,ELB,LW,24,29,16,29,0,0.6444,6,6,3,0,1,3,0,0,19/20,B
Huter,Ian,DOR,CB,13,29,22,29,0,0.5686,27,24,15,1,4,4,0,0,19/20,B
Kasal,Michal,ELB,LB,23,29,37,29,0,0.43939999999999996,12,9,1,3,5,5,1,0,19/20,B
Racic,Marko,EIS,P,23,29,17,29,0,0.6304,6,14,2,9,12,22,3,0,19/20,B
Hild,Matthias,KON,RB,24,29,22,29,0,0.5686,1,4,2,0,4,3,0,0,19/20,B
Quade,Henning,ELB,P,23,28,4,28,0,0.875,5,2,1,3,3,14,1,0,19/20,B
Drager,Yannick,TVE,P,16,28,17,28,0,0.6222,6,11,3,15,7,20,2,0,19/20,B
Wicklein,Jan,FER,RW,21,28,19,28,0,0.5957,3,4,0,1,0,3,0,0,19/20,B
Jurdzs,Aivis,TVE,LB,6,27,24,27,0,0.5294,15,5,0,8,1,5,0,0,19/20,B
Lambrecht,Moritz,TVH,P,24,27,15,27,0,0.6429,13,4,9,6,14,19,0,0,19/20,B
Roth,Felix,AUE,RW,21,27,16,27,0,0.6279,0,3,2,0,2,3,1,0,19/20,B
Rink,Thomas,FER,P,23,27,15,27,0,0.6429,3,8,1,6,14,11,1,0,19/20,B
Luciano,Dominic,KRF,P,24,27,21,27,0,0.5625,1,20,2,4,6,8,0,0,19/20,B
Slachta,Petr,AUE,P,24,26,3,26,0,0.8966,10,4,5,25,4,9,0,0,19/20,B
Murkoster,Justin,EIS,P,22,25,9,25,0,0.7353000000000001,2,3,3,2,6,11,0,0,19/20,B
Schneider,Lucas,FER,RB,19,25,18,25,0,0.5814,14,13,3,2,3,7,0,0,19/20,B
Villgrattner,Luis,GUM,CB,23,25,11,23,2,0.6944,10,7,1,2,2,1,0,0,19/20,B
Ulshofer,Jonas,EIS,CB,23,25,15,25,0,0.625,10,8,1,0,0,0,0,0,19/20,B
Wostmann,Dorian,KRF,LW,22,24,17,24,0,0.5854,2,4,5,1,2,5,0,0,19/20,B
Dayan,Yonatan,GUM,CB,24,24,8,24,0,0.75,18,12,0,0,2,3,0,0,19/20,B
Versteijnen,Niels Gerardus,VFL,RB,6,23,24,17,6,0.4894,9,6,0,1,0,2,0,0,19/20,B
Naumann,Sebastian,AUE,RW,22,22,25,22,0,0.4681,3,4,2,0,2,3,1,0,19/20,B
Bohm,Lukas,WÖW,RB,24,22,24,22,0,0.4783,8,10,0,3,4,2,0,0,19/20,B
Schwabe,Jakob,ASV,P,18,21,9,21,0,0.7,2,4,1,7,2,8,0,0,19/20,B
Claasen,Tim,VFL,CB,23,21,14,21,0,0.6,14,12,0,0,0,1,0,0,19/20,B
Timm,Marcel,COB,P,18,21,9,21,0,0.7,11,18,2,11,8,13,0,0,19/20,B
Walczak,Patryk,NLB,P,21,21,7,21,0,0.75,7,8,1,3,8,21,3,0,19/20,B
Ranke,Fynn,VFL,P,19,20,10,20,0,0.6667000000000001,1,12,1,6,8,8,1,0,19/20,B
Ridder,Carsten,TUE,LB,20,20,16,20,0,0.5556,30,10,1,3,13,8,0,0,19/20,B
Noll,Pascal,DOR,LW,14,20,9,20,0,0.6897,2,1,0,0,0,4,0,0,19/20,B
Axmann,Dominik,HSV,LB,14,20,8,19,1,0.7143,9,2,2,1,1,3,0,0,19/20,B
Urios Gonzales,Rolando,TUE,P,24,20,6,20,0,0.7692,6,7,1,2,5,15,1,0,19/20,B
Weber,Sebastian,COB,P,21,19,8,19,0,0.7037,2,1,3,1,4,2,0,0,19/20,B
Hoffmann,Robin,ELB,RW,23,19,15,19,0,0.5588000000000001,0,7,0,0,2,9,0,0,19/20,B
Klein,Johannes,TVH,LB,23,19,16,19,0,0.5428999999999999,12,7,2,0,5,7,0,0,19/20,B
Kolk,Paul,TVE,LW,24,19,20,19,0,0.48719999999999997,1,6,4,0,1,5,0,0,19/20,B
Neitsch,Magnus,FER,LW,19,19,11,19,0,0.6333,2,1,0,0,0,4,0,0,19/20,B
Stotz,Michel,KON,P,24,19,4,19,0,0.8261,0,6,0,2,3,5,0,0,19/20,B
Jungemann,Philip,ELB,P,24,18,8,18,0,0.6923,5,5,4,12,13,19,0,0,19/20,B
Spross,Felix,COB,LW,22,17,17,17,0,0.5,15,13,0,0,0,0,0,0,19/20,B
Schimmelbauer,Tobias,HSV,LW,15,17,14,17,0,0.5484,5,3,5,5,10,9,0,0,19/20,B
Bagaric,Marko,NLB,LB,22,17,11,17,0,0.6071,15,9,1,24,11,19,1,0,19/20,B
Schade,Moritz,NLB,P,24,16,9,16,0,0.64,6,4,1,13,10,15,2,0,19/20,B
Stavast,Ivar,ASV,CB,18,16,19,15,1,0.4571,20,13,1,0,0,3,0,0,19/20,B
Vonnahme,Jonas,KRF,LB,24,15,20,15,0,0.4286,11,8,1,5,7,19,0,0,19/20,B
Basic,Marijan,FER,CB,17,15,20,15,0,0.4286,19,21,3,0,1,1,0,0,19/20,B
Genda,Pawel,VFL,LB,7,15,11,15,0,0.5769,3,5,4,1,2,2,0,0,19/20,B
Kretschmer,Nils Holger,ELB,LB,7,14,12,9,5,0.5385,3,2,2,1,2,7,1,0,19/20,B
Kruger,Felix,KON,RB,19,14,16,14,0,0.4667,2,5,2,1,0,6,0,0,19/20,B
Jaeger,Felix,KRF,LB,11,14,16,14,0,0.4667,3,9,1,2,1,2,0,0,19/20,B
Ronningen,Vetle,SGB,LB,24,14,18,14,0,0.4375,2,8,3,9,12,15,1,0,19/20,B
Baumgartner,Florian,GUM,RB,10,13,14,13,0,0.4815,10,8,0,6,0,2,0,0,19/20,B
Mojzis,Jan,TVE,P,17,13,10,12,1,0.5652,1,7,4,2,5,10,3,0,19/20,B
Pretzewofsky,Jan,ASV,RW,24,12,5,12,0,0.7059000000000001,2,1,1,0,0,1,0,0,19/20,B
Gierak,Lukasz,NLB,CB,22,12,14,12,0,0.46149999999999997,9,8,1,3,8,5,0,0,19/20,B
Skorupa,Paul,KRF,P,4,12,1,12,0,0.9231,0,0,0,0,3,3,0,0,19/20,B
Doll,Jan,SGB,RW,10,11,10,10,1,0.5238,1,0,0,0,0,2,0,0,19/20,B
Vlahovic,Nikola,SGB,LB,17,11,14,11,0,0.44,10,6,3,3,2,8,0,0,19/20,B
Moller,Marcel,VFL,P,21,11,7,11,0,0.6111,0,3,0,0,0,0,0,0,19/20,B
Trost,Max,SGB,LB,10,11,14,11,0,0.44,3,0,1,2,3,5,0,0,19/20,B
Waschul,Martin,VFL,CB,22,10,9,10,0,0.5263,11,9,12,17,13,21,3,0,19/20,B
Keupp,Tim,KON,LB,23,10,19,10,0,0.3448,4,5,0,0,2,1,0,0,19/20,B
Schoneseiffen,Sebastian,KRF,CB,6,10,9,2,8,0.5263,1,4,1,0,0,0,0,0,19/20,B
Lux,Kevin,AUE,P,11,10,3,10,0,0.7692,0,2,2,2,8,6,1,0,19/20,B
Dangers,Markus,KON,P,4,10,4,10,0,0.7143,2,2,1,0,0,1,0,0,19/20,B
Backs,Fin,WÖW,LW,23,10,6,10,0,0.625,1,2,2,0,0,3,0,0,19/20,B
Vogt,Dominik,HSV,P,15,10,3,10,0,0.7692,0,7,0,4,5,7,0,0,19/20,B
Smits,Jorn,TVE,LB,11,10,4,10,0,0.7143,1,4,1,1,0,4,0,0,19/20,B
Schalles,Maxim,TVE,RW,9,10,10,10,0,0.5,0,1,6,0,0,2,0,0,19/20,B
Damm,Julian,TVE,P,22,10,10,10,0,0.5,1,4,2,0,0,3,1,0,19/20,B
Hahn,Tobias,TVH,RW,14,9,8,8,1,0.5294,1,1,2,0,1,2,0,0,19/20,B
Hansen,David,KRF,LB,8,9,14,9,0,0.39130000000000004,2,2,0,0,0,1,0,0,19/20,B
Haller,Robin,GUM,LB,13,9,16,9,0,0.36,8,8,0,1,0,0,0,0,19/20,B
Kelm,Dominic,COB,P,7,9,0,9,0,1.0,0,0,0,0,0,1,0,0,19/20,B
Richardt,Jonas,EIS,RB,18,9,4,9,0,0.6923,4,2,1,1,0,2,0,0,19/20,B
Schroeder,Julius,AUE,CB,21,9,9,9,0,0.5,4,15,1,0,0,2,1,0,19/20,B
Meinhardt,Malte,GUM,LW,19,9,4,8,1,0.6923,1,1,1,0,0,0,0,0,19/20,B
Kontrec,Tin,GUM,P,24,8,6,8,0,0.5714,4,6,5,12,16,20,1,0,19/20,B
Potisk,Martin,EIS,CB,21,8,10,8,0,0.44439999999999996,11,8,1,0,0,2,0,0,19/20,B
Emanuel,Oskar,ELB,RB,8,8,3,8,0,0.7273000000000001,5,3,0,0,0,0,0,0,19/20,B
Czako,Aron,KON,LW,20,8,3,8,0,0.7273000000000001,0,3,0,0,0,0,0,0,19/20,B
Kleineidam,Jan,HSV,CB,10,7,6,7,0,0.5385,4,6,0,0,0,1,0,0,19/20,B
Knauer,Jakob,COB,RB,9,7,8,7,0,0.4667,4,5,0,1,1,1,0,0,19/20,B
